lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
Neat1	Mirlet7a-1	RNA-RNA	Binding	Mus musculus	H19 acts as an up-stream regulator of let-7 in skeletal muscle cells, decreased H19 leads to increased bioavailability of let-7.	skeletal muscle cells	H19 depletion impairs insulin sensitivity of muscle cells	in vitro and in vivo	25399420
Neat1	Gm12966	RNA-Protein	Binding	Mus musculus	NEAT1 Associated with SRp40	adipose	NULL	RNA-IP	25437750
Neat1	Sfpq	RNA-Protein	Binding	Mus musculus	Neat1 sequesters Sfpq in paraspeckles in luteal cells	NULL	Neat1 knockout (KO) mice stochastically fail to become pregnant 	ISH and immunostaining	25359727
Neat1	Nono	RNA-Protein	Binding	Mus musculus	NEAT1 RNA binds with paraspeckle proteins.	NULL	Knock-down of NEAT1 RNA leads to loss of Paraspeckles.	nitrocellulose binding assays	19217333
Neat1	Pspc1	RNA-Protein	Binding	Mus musculus	NEAT1 RNA binds with paraspeckle proteins.	NULL	Knock-down of NEAT1 RNA leads to loss of Paraspeckles.	nitrocellulose binding assays	19217333
Neat1	Nono	RNA-Protein	Binding	Mus musculus	paraspeckle proteins p54/nrb and PSF selectively associate with and stabilize the longer MENbeta, thereby contributing to the organization of the paraspeckle structure.	NULL	NULL	FISH-IF	19188602
Neat1	Pspc1	RNA-Protein	Binding	Mus musculus	paraspeckle proteins p54/nrb and PSF selectively associate with and stabilize the longer MENbeta, thereby contributing to the organization of the paraspeckle structure.	NULL	NULL	FISH-IF	19188602
Neat1	Nono	RNA-Protein	Binding	Mus musculus	Men epsilon/beta transcripts localize to paraspeckles and associate with NONO	NULL	NULL	Co-IP	19106332
NKILA	RELA	RNA-TF	Binding	Homo sapiens	NKILA interacts with NF-	NULL	as a class of NF-魏B modulators to suppress cancer metastasis.	RIP, RNA pull down and EMSA	25759022
NPPA-AS1	NPPA	RNA-RNA	Binding	Homo sapiens	NPPA-AS can from RNA duplex with NPPA transcript. NPPA-AS splicing isoforms overlap with both exonic and intronic regions of NPPA, and thus repress NPPA expression	NULL	be involved in cardiovascular disease	in viro	19671135
NPTN-IT1	ILF3	RNA-Protein	Binding	Homo sapiens	The lncRNA-LET is bound to NF90, which increases NF90 degradation by the proteasome	CRC tissue, cell lines (QSG-7701, LO2, SMMC-7721 )	downregulation of lncRNA-LET leads to hypoxia-induced cancer cell invasion.	RNA Pull-Down, RIP and ChIP-seq, RT-qPCR,  	23395002
NRON	KPNB1	RNA-Protein	Binding	Homo sapiens	the interaction between NRON and the four proteins that showed NFAT modulatory effects	lymphoid	NULL	RNA protein-binding assays	16141075
NRON	PPP2R1A	RNA-Protein	Binding	Homo sapiens	the interaction between NRON and the four proteins that showed NFAT modulatory effects	lymphoid	NULL	RNA protein-binding assays	16141075
NRON	PSMD11	RNA-Protein	Binding	Homo sapiens	the interaction between NRON and the four proteins that showed NFAT modulatory effects	lymphoid	NULL	RNA protein-binding assays	16141075
NRON	IQGAP1	RNA-Protein	Binding	Homo sapiens	the interaction between NRON and the four proteins that showed NFAT modulatory effects	lymphoid	NULL	RNA protein-binding assays	16141075
Nron	Lrrk2	RNA-Protein	Binding	Mus musculus	Mechanistic studies showed that LRRK2 was a potent negative regulator of the transcription factor NFAT and was a component of a complex that included the large noncoding RNA NRON.	NULL	NULL	Immunoprecipitation-RNA	21983832
Nron	Calm1	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
Nron	Dyrk1a	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
Nron	Iqgap1	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
Nron	Gsk3b	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
Nron	Gm12892	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
NRON	LRRK2	RNA-Protein	Binding	Homo sapiens	The regulatory non-coding RNA, NRON, was also detected in association with LRRK2 by immunoprecipitation followed by RT-PCR using NRON specific primers. LRRK2 blocks the transport of NFAT to the nucleus and that LRRK2 deficiency results in enhanced susceptibility to experimental colitis in mice.	THP-1 cell	NULL	ChIP, RT-qPCR 	21983832
Oct4P4	Suv39h1	RNA-Protein	Binding	Mus musculus	Oct4P4 lncRNA abundance was found to be strongly reduced in anti-SUV39H1 RNA immunoprecipitates after RNAi-mediated reduction of endogenous Oct4P4, thus confirming the specificity of our experiments	 mouse embryonic stem cells	mouse embryonic stem cells (mESCs) self-renewal	RNA immunoprecipitates	26158551
Oct4P4	Pou5f1	RNA-DNA	Binding	Mus musculus	our data demonstrate that the Oct4P4 lncRNA is required to localize MS2-flag to the Oct4 promoter in MS2-flag/Oct4P4-24 	 mouse embryonic stem cells	mouse embryonic stem cells (mESCs) self-renewal	'Oct4P4-MS2 RNA stem loop' tethering system 	26158551
PAN RNA	EZH2	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with Polycomb repression complex proteins EZH2 and SUZ12	NULL	mediate the trimethylation of H3K27	RNA cross-linking immunoprecipitation (rCLIP)	23468496
PAN RNA	SUZ12	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with Polycomb repression complex proteins EZH2 and SUZ12	NULL	mediate the trimethylation of H3K28	RNA cross-linking immunoprecipitation (rCLIP)	23468496
PAN RNA	KDM6A	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	JMJD3, UTX and MLL2 interact with PAN RNA	NULL	NULL	RNA CLIP	22589717
PAN RNA	KMT2D	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	JMJD3, UTX and MLL2 interact with PAN RNA	NULL	NULL	RNA CLIP	22589717
PAN RNA	KDM6B	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	JMJD3, UTX and MLL2 interact with PAN RNA	NULL	NULL	RNA CLIP	22589717
PAN RNA	PABPC1	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PABPC1 binds to the 9-nt core of PAN MRE-II.	NULL	NULL	Integration of CLIP and RT-PCR	22043172
PAN RNA	ORF57	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	E1B-AP5 interacts with the PAN MRE-II motif outside of the 9-nt core in the MRE-II loop.	NULL	NULL	Integration of CLIP and RT-PCR	22043172
PAN RNA	PABPC1	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA binds to PABPC1 in the nucleus of lytically infected BCBL1 TReX-RTA cells.	NULL	NULL	RIP	22022268
PAN RNA	HIST1H1B	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with several virus- and host cell-encoded factors, including histones H1 and H2A, mitochondrial and cellular single-stranded binding proteins (SSBPs), and interferon Regulation factor 4 (IRF4)	NULL	NULL	RNA ChIP	21957289
PAN RNA	IRF4	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with several virus- and host cell-encoded factors, including histones H1 and H2A, mitochondrial and cellular single-stranded binding proteins (SSBPs), and interferon Regulation factor 4 (IRF4)	NULL	NULL	RNA ChIP	21957289
PAN RNA	SSBP1	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with several virus- and host cell-encoded factors, including histones H1 and H2A, mitochondrial and cellular single-stranded binding proteins (SSBPs), and interferon Regulation factor 4 (IRF4)	NULL	NULL	RNA ChIP	21957289
PAN RNA	HIST2H2AC	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with several virus- and host cell-encoded factors, including histones H1 and H2A, mitochondrial and cellular single-stranded binding proteins (SSBPs), and interferon Regulation factor 4 (IRF4)	NULL	NULL	RNA ChIP	21957289
PAN RNA	ORF59	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	the interaction of PAN RNA with the virally encoded processivity factor ORF59	NULL	NULL	RNA ChIP	21957289
PAN RNA	ORF50	RNA-DNA	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	ChIRP-Seq analysis confirmed the interaction of PAN RNA with the ORF50 promoter.	NULL	NULL	ChIRP-Seq	23468496
PAN RNA	K-Rta	RNA-DNA	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA physically interacts with the K-Rta promoter	NULL	NULL	ChIRP	22589717
PANDAR	NFYA	RNA-TF	Binding	Homo sapiens	ChIP results showed that overexpression of PANDAR could detect a loss of NF-YA binding at the promoter of Bcl-2 	NULL	PANDAR overexpression inhibits tumor growth	ChIP assays	25719249
PANDAR	NFYA	RNA-TF	Binding	Homo sapiens	PANDA binding to NF-YA may evict or prevent NF-YA binding to chromatin	lung fibroblasts	PANDA promotescell survival by impeding the apoptotic gene expression program	RNA Immunoprecipitation	21642992
PANDAR	HNRNPU	RNA-Protein	Binding	Homo sapiens	PANDA binds to SAFA and BMI1 and is critical for their interaction	proliferating cells	repress senescencepromoting/enforcing genes in proliferating cells	Co-immunoprecipitation	25406515
PANDAR	BCL2	RNA-DNA	Regulation	Homo sapiens	PANDAR could regulate Bcl-2 expression by interacting with NY-YA at the transcriptional level. ChIP results showed that overexpression of PANDAR could detect a loss of NF-YA binding at the promoter of Bcl-2 	NULL	PANDAR overexpression inhibits tumor growth	RIP and ChIP assays	25719249
PANDAR	TP53	DNA-TF	Regulation	Homo sapiens	ChIP assays confirmed that PANDAR was a direct transcriptional target of p53 in NSCLC cells.	NSCLC cell	PANDAR overexpression inhibits tumor growth	ChIP assays	25719249
PARTICL	EHMT2	RNA-Protein	Binding	Homo sapiens	PARTICLE interacts with silencing complexes G9a and PRC2	NULL	an lncRNA tuner of cellular methylation following radiation exposure.	electrophoretic mobility shift	25900080
PARTICL	SUZ12	RNA-Protein	Binding	Homo sapiens	PARTICLE interacts directly with PRC2 via the SUZ12 subunit	NULL	an lncRNA tuner of cellular methylation following radiation exposure.	electrophoretic mobility shift	25900080
PARTICL	MAT2A	RNA-DNA	Binding	Homo sapiens	Expression of tumor suppressor MAT2A is regulated by PARTICLE via triplex formation	NULL	an lncRNA tuner of cellular methylation following radiation exposure.	ChIP and RNA Pull-Down	25900080
PARTICL	MYB	DNA-Protein	Binding	Homo sapiens	PARTICLEAssociates with Myb, G9a Lysine Methyltransferase, and the Polycomb Repressor Complex Subunit SUZ12	Head and Neck Squamous Cell		ChIP	25900080
Paupar	Pax6	RNA-TF	Binding	Mus musculus	Paupar acts in a transcript dependent manner to regulate Pax6 through physical association with PAX6 protein	neuroblastoma cell	regulates neural growth and differentiation	UV-RIP	24488179
PCA3	HMGA1	DNA-TF	Binding	Homo sapiens	HMG-I(Y) interacts with DD3 promoter sequences in all prostate cancer cell lines.	prostate	NULL	Bandshift analysis	10982808
PCA3	PRUNE2	RNA-RNA	Binding	Homo sapiens	We show that PCA3 controls PRUNE2 levels via a unique regulatory mechanism involving formation of a PRUNE2/PCA3 double-stranded RNA that undergoes adenosine deaminase acting on RNA (ADAR)-dependent adenosine-to-inosine RNA editing. 	prostate 	human prostate cancer	co-RNA-FISH assays	26080435
PCA3	ADAR	RNA-Protein	Binding	Homo sapiens	we used quantitative RT-PCR (qRT-PCR), co-RNAFISH, and RNA-ChIP. We found that endogenous PCA3 and PRUNE2 pre-mRNAs colocalize to nuclear foci associated with ADAR proteins, which were sensitive to RNase III treatment	prostate 	human prostate cancer	RNA immunoprecipitation	26080435
PCAT1	SUZ12	DNA-Protein	Binding	Homo sapiens	Chromatin immunoprecipitation (ChIP) assays also demonstrated that SUZ12, a core PRC2 protein, directly binds the PCAT-1 promoter approximately 1kb upstream of the TSS.	prostate	NULL	ChIP	21804560
PCAT1	SUZ12	RNA-Protein	Binding	Homo sapiens	RNA immunoprecipitation (RIP) similarly showed binding ofPCAT-1to SUZ12 protein in VCaP cells	VCaP cells		RNA immunoprecipitation (RIP)	21804560
PCAT1	BRCA2	RNA-Protein	Regulation	Homo sapiens	our data directly support a role for PCAT-1 in the post-transcriptional regulation of BRCA2, PCAT-1 overexpression is able to directly repress the activity of the BRCA2 3	prostate tissue, cell lines (Du145-derived, RWPE-derived, LNCAP-derived, PC3-derived etc.)	PCAT-1 regulates cell response to genotoxic stress	microarray, qPCR, Western blot, RNAi, Luciferase reporter assay.	24473064
PCAT29	AR	DNA-TF	Binding	Homo sapiens	PCAT29 is regulated by AR, FOXA1 and NKX3-1.  	LNCap cells	PCAT29 suppresses cell proliferation and inhibits cell migration and invasion	ChIP-PCR	25700553
PCAT29	FOXA1	DNA-TF	Binding	Homo sapiens	PCAT29 is regulated by AR, FOXA1 and NKX3-1.  	LNCap cells	PCAT29 suppresses cell proliferation and inhibits cell migration and invasion	ChIP-PCR	25700553
PCAT29	NKX3-1	DNA-TF	Binding	Homo sapiens	PCAT29 is regulated by AR, FOXA1 and NKX3-1.  	LNCap cells	PCAT29 suppresses cell proliferation and inhibits cell migration and invasion	ChIP-PCR	25700553
PCAT29	AR	DNA-TF	Binding	Homo sapiens	androgen receptor binds to the promoter of PCAT29 and suppresses its transcription.	NULL	PCAT29 as an androgen-regulated tumor suppressor in prostate cancer. 	ChIP	25030374
PCGEM1	MYC	RNA-TF	Binding	Homo sapiens	PCGEM1 binds directly to target promoters, physically interacts with c-Myc	prostate cells	NULL	RNA immunoprecipitation (RIP)	25512540
PCGEM1	AR	RNA-TF	Binding	Homo sapiens	Native RNA-Immunoprecipitation (RIP) experiments in paired prostate tumor and BPH tissues (Gleason scores 2+3 to 4+3), revealed a specific association of full-length AR with both PRNCR1 and PCGEM1 in prostate tumor tissues compared to minimal interactions with glucocorticoid receptor (GR)	prostate tumor and BPH tissues	NULL	RIP	23945587
PCGEM1	AR	RNA-DNA	Binding	Homo sapiens	PRNCR1 and PCGEM1 interact with AR (Androgen receptor) in a K631/634 acetylation- and K349 methylation-dependent manner, respectively.	LNCaP cells	NULL	ChIRP	23945587
PCGEM1	MIR770	RNA-RNA	Binding	Homo sapiens	We demonstrate that PCGEM1 act as sponge lncRNA for miR-770 that regulates proliferation/apoptosis and autophagy, and suggest PCGEM1 as possible target for OA therapy	-	 osteoarthritic synoviocytes	luciferase reporter 	26340084
PCNA-AS1	PCNA	RNA-RNA	Binding	Homo sapiens	The effects of PCNA-AS1 rely on regulation of PCNA via forming RNA hybridization to increase PCNA mRNA stability.	hepatocellular carcinoma cell lines (Huh7, SMMC7721)	PCNA-AS1 promotes tumor growth	microarray, qPCR	24704293
Pinc	Ezh2	RNA-Protein	Binding	Mus musculus	mPINCinteracts with PRC2 in HC11 cells	NULL	NULL	RIP	22911650
Pinc	Suz12	RNA-Protein	Binding	Mus musculus	mPINCinteracts with PRC2 in HC11 cells	NULL	NULL	RIP	22911650
Pinc	Rbbp7	RNA-Protein	Binding	Mus musculus	mPINCinteracts with PRC2 in HC11 cells	NULL	NULL	RIP	22911650
Pnky	Ptbp1	RNA-Protein	Binding	Mus musculus	Pnky localizes to the nucleus and interacts with the mRNA splicing regulator PTBP1,PTBP1 and Pnky regulate expression of key transcripts related to differentiation.	NULL	Pnky knockdown increases neuronal differentiation in culture and in vivo	ISH, RNA Pulldown and Mass Spectrometry	25800779
PNKY	PTBP1	RNA-Protein	Binding	Homo sapiens	Pnky localizes to the nucleus and interacts with the mRNA splicing regulator PTBP1,PTBP1 and Pnky regulate expression of key transcripts related to differentiation.	NULL	Pnky knockdown increases neuronal differentiation in culture and in vivo	ISH, RNA Pulldown and Mass Spectrometry	25800779
PRINS	IFI6	RNA-DNA	Regulation	Homo sapiens	we report that PRINS regulates G1P3, a gene with anti-apoptotic effects in keratinocytes	NULL	NULL	in vitro	20377629
PR-lncRNA-10	TP53	RNA-TF	Regulation	Homo sapiens	we analysed the expression of the p53 directly regulated lncRNAs identified in this study	NULL	NULL	in vitro	25524025
PR-lncRNA-17	TP53	RNA-TF	Regulation	Homo sapiens	we analysed the expression of the p53 directly regulated lncRNAs identified in this study	NULL	NULL	in vitro	25524025
PR-lncRNA-18	TP53	RNA-TF	Regulation	Homo sapiens	we analysed the expression of the p53 directly regulated lncRNAs identified in this study	NULL	NULL	in vitro	25524025
PR-lncRNA-2	TP53	RNA-TF	Regulation	Homo sapiens	we analysed the expression of the p53 directly regulated lncRNAs identified in this study	NULL	NULL	in vitro	25524025
pRNA	PARP1	RNA-Protein	Binding	Dictyostelium discoideum AX4	PARP1 associates with pRNA	NULL	NULL	RIP	22405650
PRNCR1	AR	RNA-DNA	Binding	Homo sapiens	PRNCR1 and PCGEM1 interact with AR (Androgen receptor) in a K631/634 acetylation- and K349 methylation-dependent manner, respectively.	LNCaP cells	NULL	ChIRP	23945587
PRNCR1	AR	DNA-TF	Binding	Homo sapiens	Native RNA-Immunoprecipitation (RIP) experiments in paired prostate tumor and BPH tissues (Gleason scores 2+3 to 4+3), revealed a specific association of full-length AR with both PRNCR1 and PCGEM2 in prostate tumor tissues compared to minimal interactions	prostate tumor and BPH tissues	NULL	RIP	23945587
PTCSC3	MIR574	RNA-RNA	Binding	Homo sapiens	PTCSC3 acts as a competing endogenous RNA to target miR-574-5p and in turn regulate cell growth and apoptosis in thyroid cancer	NULL	tumor suppressor	in vitro	23599737
PTCSC3	CEBPA	DNA-TF	Regulation	Homo sapiens	C/EBP epsilon and C/EBP beta activate PTCSC3 promoter activity	Thyroid Tissue	suppress tumor	EMSA	22586128
